Series,Venue,Date,Batting Team,Bowling Team,Striker,Batting Type,Non-Striker,Bowler,Bowling Proficiency,Innings,Unique,Over Number,Over Ball,Runs,Wides,Team Runs,Remaining Overs,Lead By,Trail By,Fall Of Wickets,Day,Session,Leg Byes,No Balls,Balls,Byes,Remaining Balls,Run Rate,Batter Sixes,Batter Runs,Batter Fours,Batter Balls,Batter Total Runs,Dismissal Type,Dismissal Fielder,On Field Minutes,Shot Type,Delivery Type,Pitching Line,Pitching Length,Fielder Angle,Fielder Length Ratio,Bounce Angle,Pitch_x,Pitch_y,Friction,Restitution,Crease Position,Crease Position_x,Crease Position_y,Deviation Degree,Drop Angle,Impact Position_x,Impact Position_y,Impact Position_z,Initial Angle,PBR,Reaction Time,Release Position,Release Position_x,Release Position_y,Release Speed,Stump Position,Stump Position_x,Stump Position_y,Swing Degree,Swing Distance,Six Distance
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Kuldeep Yadav,Left Arm Chinaman,1,21.3,22,3,0,0,121,28.3,0,0,0,1,1,0,0,129,0,171,5.62,0,0,2,31,24,,,0,FORWARD PUSH,CHINAMAN,Leg stump,Full Length,,,11.095,5.379,-0.101,0.323,0.6,-8.841,-0.042,0.596,3.636,-15.642,-8.003,-0.054,0.53,-0.737,67.691,0.764,8.341,0.326,1.873,52.676,-10.06,-0.024,0.649,-1.825,-0.198,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Kuldeep Yadav,Left Arm Chinaman,1,21.4,22,4,4,0,125,28.2,0,0,0,1,1,0,0,130,0,170,5.76,0,4,3,32,28,,,0,BACKFOOT PULL SHOT,CHINAMAN,Outside Leg stump,Short of Good Length,333.6481,1.18,10.247,6.694,0.196,0.413,0.558,-8.841,0.461,0.557,4.588,-15.008,-7.606,0.4,0.528,-2.796,52.414,0.747,8.341,0.339,1.847,53.686,-10.06,0.521,0.531,-2.276,-0.215,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Kuldeep Yadav,Left Arm Chinaman,1,21.5,22,5,0,0,125,28.1,0,0,0,1,1,0,0,131,0,169,5.72,0,0,3,33,28,,,0,BACKFOOT DEFENCE,CHINAMAN,Off stump,Good Length,,,12.708,5.341,-0.164,0.352,0.635,-8.841,0.021,0.698,4.027,-16.415,-8.266,-0.005,0.641,-0.009,70.093,0.784,8.341,0.237,1.881,52.75,-10.06,0.077,0.778,0.475,0.051,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Kuldeep Yadav,Left Arm Chinaman,1,21.6,22,6,1,0,126,28.0,0,0,0,1,1,0,0,132,0,168,5.72,0,1,3,34,29,,,0,FORWARD PUSH,CHINAMAN,Leg stump,Good Length,12.34919,0.49,13.322,5.248,-0.08,0.37,0.658,-8.841,0.032,0.707,4.127,-16.426,-7.94,0.007,0.612,0.097,71.746,0.794,8.341,0.334,1.882,50.868,-10.06,0.067,0.785,-1.436,-0.157,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Ravindra Jadeja,Left Arm Orthodox,1,22.1,23,1,1,0,127,27.5,0,0,0,1,1,0,0,133,0,167,5.72,0,1,3,35,30,,,0,FORWARD PUSH,ORTHODOX,Off stump,Full Length,160.3461,0.45,10.277,5.274,-0.185,0.255,0.597,-8.841,-0.107,0.59,-2.103,-15.146,-7.882,-0.126,0.49,-3.636,73.971,0.652,8.341,-0.839,2.16,60.597,-10.06,-0.083,0.686,0.66,0.073,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Ravindra Jadeja,Left Arm Orthodox,1,22.2,23,2,1,0,128,27.4,0,0,0,1,1,0,0,134,0,166,5.73,0,1,0,10,3,,,0,STEP DOWN DEFENCE,ORTHODOX,Off stump,Good Length,212.9594,0.86,11.004,6.841,0.068,0.414,0.603,-8.841,0.143,0.761,-4.06,-14.931,-6.964,0.118,0.604,-5.773,59.02,0.615,8.341,-0.823,2.123,60.283,-10.06,0.16,0.815,0.778,0.076,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Ravindra Jadeja,Left Arm Orthodox,1,22.3,23,3,4,0,132,27.3,0,0,0,1,1,0,0,135,0,165,5.86,0,4,4,36,34,,,0,FRONTFOOT FLICK,ORTHODOX,Leg stump,Full Length,35.47533,1.14,10.291,3.092,0.078,0.115,0.65,-8.841,0.217,0.341,0.0,-14.862,-7.863,0.145,0.188,-1.351,96.05,0.62,8.341,-0.779,2.144,62.228,-10.06,0.308,0.508,1.972,0.261,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Ravindra Jadeja,Left Arm Orthodox,1,22.4,23,4,1,0,133,27.2,0,0,0,1,1,0,0,136,0,164,5.86,0,1,4,37,35,,,0,BACKFOOT PUSH,ORTHODOX,Off stump,Good Length,355.2363,0.48,9.998,5.392,-0.028,0.275,0.59,-8.841,0.146,0.581,-2.027,-14.828,-8.256,0.121,0.526,-3.896,70.993,0.66,8.341,-0.836,2.132,61.787,-10.06,0.198,0.671,1.566,0.171,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Ravindra Jadeja,Left Arm Orthodox,1,22.5,23,5,0,0,133,27.1,0,0,0,1,1,0,0,137,0,163,5.82,0,0,0,11,3,,,0,FORWARD DEFENCE,ORTHODOX,Off stump,Good Length,,,10.42,7.219,0.073,0.256,0.61,-8.841,0.293,0.801,-2.37,-15.049,-8.069,0.264,0.744,-6.253,75.931,0.643,8.341,-0.725,2.123,63.697,-10.06,0.339,0.866,0.646,0.061,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Ravindra Jadeja,Left Arm Orthodox,1,22.6,23,6,0,0,133,27.0,0,0,0,1,1,0,0,138,0,162,5.78,0,0,0,12,3,,,0,BACKFOOT PUSH,ORTHODOX,Outside Off stump,Good Length,,,12.984,6.2,0.184,0.518,0.665,-8.841,0.123,0.846,-4.973,-14.989,-8.908,0.122,0.852,-4.646,57.975,0.731,8.341,-0.589,2.116,56.59,-10.06,0.108,0.934,1.265,0.13,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Mohammed Shami,Right Arm Fast Medium,1,23.1,24,1,1,0,134,26.5,0,0,0,1,1,0,0,139,0,161,5.78,0,1,4,38,36,,,0,FRONTFOOT COVERDRIVE,STRAIGHT BALL,Outside Off stump,Good Length,158.6443,0.86,8.258,7.549,-0.38,0.178,0.636,-8.841,-0.351,0.763,-0.572,-12.07,-8.123,-0.355,0.701,-7.812,87.625,0.481,8.341,-0.47,1.925,83.077,-10.06,-0.345,0.856,0.691,0.07,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Mohammed Shami,Right Arm Fast Medium,1,23.2,24,2,0,0,134,26.4,0,0,0,1,1,0,0,140,0,160,5.74,0,0,0,13,3,,,0,FORWARD DEFENCE,ANGLED IN,Outside Off stump,Good Length,,,7.968,7.669,0.412,0.197,0.623,-8.841,0.127,0.747,-0.082,-11.841,-8.185,0.157,0.693,-8.133,83.703,0.475,8.341,0.881,1.916,82.671,-10.06,0.072,0.835,0.237,-0.029,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Mohammed Shami,Right Arm Fast Medium,1,23.3,24,3,1,0,135,26.3,0,0,0,1,1,0,0,141,1,159,5.74,0,0,0,14,3,,,0,LEFT ALONE,STRAIGHT BALL,Outside Off stump,Short Length,,,11.888,12.172,0.624,0.186,0.59,-8.841,0.225,1.738,-0.744,-17.878,-999.9,-999.9,-999.9,-14.895,79.839,0.58,8.341,0.917,1.854,82.218,-10.06,0.208,1.847,0.616,-0.017,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Mohammed Shami,Right Arm Fast Medium,1,23.4,24,4,0,0,135,26.2,0,0,0,1,1,0,0,142,0,158,5.7,0,0,4,39,36,,,0,LEFT ALONE,ANGLED IN,Outside Off stump,Short of Good Length,,,7.811,7.652,-0.468,0.197,0.613,-8.841,-0.399,0.722,0.337,-11.791,-999.9,-999.9,-999.9,-7.943,82.273,0.537,8.341,-0.5,1.892,83.713,-10.06,-0.385,0.806,0.17,0.015,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Mohammed Shami,Right Arm Fast Medium,1,23.5,24,5,0,0,135,26.1,0,0,0,1,1,0,0,143,0,157,5.66,0,0,4,40,36,,,0,BACKFOOT PUSH,ANGLED IN,Outside Off stump,Good Length,,,8.183,8.344,-0.204,0.193,0.616,-8.841,-0.044,0.807,-0.372,-12.272,-8.048,-0.062,0.747,-8.75,83.217,0.486,8.34,-0.502,1.889,82.967,-10.06,-0.016,0.886,-0.143,-0.014,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Mohammed Shami,Right Arm Fast Medium,1,23.6,24,6,0,0,135,26.0,0,0,0,1,1,0,0,144,0,156,5.62,0,0,4,41,36,,,0,BACKFOOT PUSH,ANGLED IN,Outside Off stump,Short of Good Length,,,8.676,9.027,-0.471,0.136,0.625,-8.841,-0.407,0.934,-0.055,-13.047,-8.46,-0.411,0.904,-9.591,90.107,0.498,8.341,-0.539,1.898,82.576,-10.06,-0.397,1.02,0.193,0.015,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Ravindra Jadeja,Left Arm Orthodox,1,24.1,25,1,1,0,136,25.5,0,0,0,1,1,0,0,145,0,155,5.62,0,1,0,15,4,,,0,FRONTFOOT ON DRIVE,ORTHODOX,Off stump,Full Length,120.1796,0.94,9.588,4.577,-0.046,0.279,0.57,-8.841,-0.03,0.475,-2.537,-14.715,-7.74,-0.035,0.354,-3.232,67.547,0.63,8.341,-0.648,2.161,61.826,-10.06,-0.025,0.577,0.575,0.065,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Ravindra Jadeja,Left Arm Orthodox,1,24.2,25,2,0,0,136,25.4,0,0,0,1,1,0,0,146,0,154,5.58,0,0,4,42,36,,,0,BACKFOOT PUSH,ORTHODOX,Off stump,Good Length,,,11.327,5.436,-0.145,0.3,0.648,-8.841,-0.148,0.687,-3.313,-15.036,-8.582,-0.148,0.657,-3.798,77.129,0.67,8.341,-0.755,2.139,62.593,-10.06,-0.149,0.805,1.119,0.121,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Ravindra Jadeja,Left Arm Orthodox,1,24.3,25,3,1,0,137,25.3,0,0,0,1,1,0,0,147,0,153,5.59,0,1,4,43,37,,,0,FRONTFOOT FLICK,ORTHODOX,Outside Leg stump,Full Length,348.8801,0.92,9.384,3.441,0.097,0.242,0.583,-8.841,0.19,0.346,-1.615,-14.373,-8.047,0.157,0.244,-2.328,73.211,0.629,8.341,-0.727,2.163,62.539,-10.06,0.242,0.478,1.601,0.199,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Ravindra Jadeja,Left Arm Orthodox,1,24.4,25,4,0,0,137,25.2,0,0,0,1,1,0,0,148,0,152,5.55,0,0,0,16,4,,,0,BACKFOOT PUSH,ORTHODOX,Off stump,Good Length,,,11.197,5.483,0.001,0.321,0.648,-8.841,0.062,0.678,-2.292,-14.757,-8.86,0.062,0.68,-4.144,75.085,0.686,8.341,-0.587,2.141,61.602,-10.06,0.08,0.789,0.938,0.101,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Ravindra Jadeja,Left Arm Orthodox,1,24.5,25,5,0,0,137,25.1,0,0,0,1,1,0,0,149,0,151,5.51,0,0,0,17,4,,,0,STEP DOWN COVER DRIVE,ORTHODOX,Off stump,Full Length,,,9.712,5.642,-0.088,0.203,0.616,-8.841,0.135,0.611,-1.217,-14.306,-6.955,0.039,0.409,-4.565,82.12,0.58,8.341,-0.9,2.118,63.677,-10.06,0.198,0.705,0.79,0.085,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Ravindra Jadeja,Left Arm Orthodox,1,24.6,25,6,1,0,138,25.0,0,0,0,1,1,0,0,150,0,150,5.52,0,1,0,18,5,,,0,FRONTFOOT ON DRIVE,ORTHODOX,Off stump,Full Length,122.325,0.91,9.154,4.381,0.014,0.183,0.588,-8.841,0.078,0.451,-0.976,-14.256,-7.875,0.058,0.341,-3.285,79.907,0.606,8.341,-0.477,2.144,63.119,-10.06,0.102,0.565,0.195,0.021,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Mohammed Shami,Right Arm Fast Medium,1,25.1,26,1,0,0,138,24.5,0,0,0,1,1,0,0,151,0,149,5.48,0,0,0,19,5,,,0,BACKFOOT DEFENCE,ANGLED IN,Outside Off stump,Short of Good Length,,,7.711,8.004,0.462,0.141,0.601,-8.841,0.183,0.758,0.914,-12.105,-999.9,-999.9,-999.9,-8.637,86.029,0.529,8.341,0.992,1.936,85.04,-10.06,0.131,0.841,-0.558,-0.029,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Mohammed Shami,Right Arm Fast Medium,1,25.2,26,2,0,0,138,24.4,0,0,0,1,1,0,0,152,0,148,5.44,0,0,0,20,5,,,0,BACKFOOT DEFENCE,ANGLED IN,Outside Off stump,Short of Good Length,,,7.596,8.268,0.419,0.201,0.583,-8.84,0.034,0.742,0.057,-12.037,-8.251,0.067,0.701,-9.028,77.374,0.478,8.341,0.969,1.909,85.174,-10.06,-0.035,0.814,0.017,-0.005,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Mohammed Shami,Right Arm Fast Medium,1,25.3,26,3,1,0,139,24.3,0,0,0,1,1,0,0,153,0,147,5.45,0,1,0,21,6,,,0,FRONTFOOT OFF DRIVE,ANGLED IN,Outside Off stump,Good Length,58.25028,0.6,7.038,6.574,0.329,0.178,0.593,-8.841,0.116,0.564,0.64,-11.135,-7.572,0.167,0.464,-7.181,81.096,0.454,8.341,0.96,1.929,85.266,-10.06,0.066,0.644,0.328,0.032,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Mohammed Shami,Right Arm Fast Medium,1,25.4,26,4,1,0,140,24.2,0,0,0,1,1,0,0,154,0,146,5.45,0,1,4,44,38,,,0,FRONTFOOT COVERDRIVE,STRAIGHT BALL,Outside Off stump,Good Length,163.1949,0.87,8.066,7.534,-0.456,0.184,0.64,-8.841,-0.456,0.746,-0.147,-11.722,-8.279,-0.456,0.698,-8.053,87.594,0.479,8.341,-0.485,1.919,84.277,-10.06,-0.456,0.838,-0.014,-0.001,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Mohammed Shami,Right Arm Fast Medium,1,25.5,26,5,1,0,141,24.1,0,0,0,1,1,0,0,155,0,145,5.45,0,1,0,22,7,,,0,FRONTFOOT OFF DRIVE,ANGLED IN,Outside Off stump,Good Length,62.94525,0.66,6.748,6.569,0.37,0.181,0.576,-8.841,0.122,0.544,0.114,-10.976,-8.113,0.157,0.492,-7.263,78.4,0.468,8.341,0.925,1.929,84.116,-10.06,0.065,0.619,-0.051,-0.002,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Mohammed Shami,Right Arm Fast Medium,1,25.6,26,6,1,0,142,24.0,0,0,0,1,1,0,0,156,0,144,5.46,0,1,4,45,39,,,0,BACKFOOT PULL SHOT,STRAIGHT BALL,Outside Off stump,Short Length,11.00354,0.94,11.335,12.746,-0.47,0.164,0.543,-8.841,-0.3,1.654,-0.059,-18.659,-7.779,-0.316,1.565,-15.814,75.034,0.509,8.341,-0.533,1.77,83.294,-10.06,-0.281,1.74,0.429,0.012,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Axar Patel,Left Arm Orthodox,1,26.1,27,1,1,0,143,23.5,0,0,0,1,1,0,0,157,0,143,5.46,0,1,4,46,40,,,0,FRONTFOOT OFF DRIVE,ORTHODOX,Outside Off stump,Full Length,119.7249,0.89,9.719,4.076,-0.313,0.177,0.559,-8.841,-0.153,0.424,-1.161,-15.791,-7.71,-0.217,0.29,-2.247,76.133,0.679,8.341,-1.189,2.247,56.662,-10.06,-0.083,0.533,1.613,0.191,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Axar Patel,Left Arm Orthodox,1,26.2,27,2,1,0,144,23.4,0,0,0,1,1,0,0,158,0,142,5.46,0,1,0,23,8,,,0,BACKFOOT PULL SHOT,ORTHODOX,Outside Leg stump,Short of Good Length,186.6869,0.89,9.249,6.485,-0.214,0.239,0.549,-8.841,0.061,0.596,-1.756,-14.982,-8.405,0.038,0.573,-5.412,68.462,0.694,8.341,-1.054,2.154,59.656,-10.06,0.126,0.634,1.253,0.121,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Axar Patel,Left Arm Orthodox,1,26.3,27,3,1,0,145,23.3,0,0,0,1,1,0,0,159,0,141,5.47,0,1,4,47,41,,,0,FRONTFOOT OFF DRIVE,ORTHODOX,Outside Off stump,Full Length,117.8744,0.98,12.333,4.433,-0.212,0.272,0.685,-8.841,-0.064,0.603,-2.462,-15.611,-7.593,-0.122,0.41,-2.911,85.491,0.672,8.341,-1.147,2.255,57.39,-10.06,-0.007,0.751,2.345,0.274,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Axar Patel,Left Arm Orthodox,1,26.4,27,4,0,0,145,23.2,0,0,0,1,1,0,0,160,0,140,5.43,0,0,0,24,8,,,0,STEP DOWN ON DRIVE,ORTHODOX,Leg stump,Good Length,,,10.986,7.673,-0.15,0.267,0.587,-8.841,0.12,0.779,-2.955,-16.231,-6.871,0.036,0.672,-6.209,71.373,0.668,8.341,-1.034,2.157,56.695,-10.06,0.173,0.791,1.135,0.103,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Axar Patel,Left Arm Orthodox,1,26.5,27,5,0,0,145,23.1,0,0,0,1,1,0,0,161,0,139,5.4,0,0,0,25,8,,,0,BACKFOOT PUSH,ORTHODOX,Outside Leg stump,Short of Good Length,,,8.619,6.295,-0.199,0.155,0.527,-8.841,0.203,0.534,-0.637,-15.074,-8.875,0.206,0.535,-5.203,73.597,0.717,8.341,-1.135,2.167,58.836,-10.06,0.302,0.571,1.265,0.129,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Axar Patel,Left Arm Orthodox,1,26.6,27,6,0,0,145,23.0,0,0,0,1,1,0,0,162,0,138,5.37,0,0,0,26,8,,,0,BACKFOOT PUSH,ORTHODOX,Outside Leg stump,Short of Good Length,,,9.986,6.558,-0.247,0.186,0.525,-8.841,0.146,0.59,-1.363,-17.074,-8.884,0.149,0.592,-3.874,70.045,0.802,8.341,-1.184,2.192,52.985,-10.06,0.238,0.604,1.849,0.184,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Hardik Pandya,Right Arm Fast Medium,1,27.1,28,1,0,0,145,22.5,0,0,0,1,1,0,0,163,0,137,5.33,0,0,4,48,41,,,0,FORWARD PUSH,ANGLED IN,Outside Off stump,Full Length,,,7.575,5.451,-0.363,0.182,0.625,-8.84,-0.233,0.509,0.074,-11.312,-7.919,-0.262,0.425,-6.061,85.635,0.492,8.341,-0.723,1.999,80.001,-10.06,-0.194,0.606,0.146,0.016,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Hardik Pandya,Right Arm Fast Medium,1,27.2,28,2,1,0,146,22.4,0,0,0,1,1,0,0,164,0,136,5.34,0,1,4,49,42,,,0,FRONTFOOT FLICK,ANGLED IN,Off stump,Full Length,21.52647,0.54,6.153,4.115,-0.068,0.151,0.533,-8.841,0.06,0.308,-0.166,-10.941,-7.908,0.018,0.233,-5.037,74.802,0.492,8.341,-0.721,2.015,79.297,-10.06,0.115,0.392,0.111,0.014,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Hardik Pandya,Right Arm Fast Medium,1,27.3,28,3,0,0,146,22.3,0,0,0,1,1,0,0,165,0,135,5.3,0,0,0,27,8,,,0,FORWARD PUSH,STRAIGHT BALL,Leg stump,Full Length,,,6.089,4.713,-0.107,0.169,0.53,-8.841,0.02,0.349,-0.076,-10.837,-8.186,-0.004,0.3,-5.614,72.572,0.484,8.341,-0.602,1.991,82.409,-10.06,0.066,0.427,0.117,-0.002,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Hardik Pandya,Right Arm Fast Medium,1,27.4,28,4,6,0,152,22.2,0,0,0,1,1,0,0,166,0,134,5.49,1,6,0,28,14,,,0,BACKFOOT PULL SHOT,STRAIGHT BALL,Outside Leg stump,Short Length,237.3464,1.19,10.174,10.457,-0.479,0.161,0.618,-8.841,-0.38,1.25,-0.863,-15.125,-8.105,-0.389,1.187,-11.595,86.568,0.51,8.341,-0.674,1.908,81.633,-10.06,-0.367,1.341,0.092,0.006,60.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Hardik Pandya,Right Arm Fast Medium,1,27.5,28,5,1,0,153,22.1,0,0,0,1,1,0,0,167,0,133,5.49,1,1,0,29,15,,,0,GLIDE,STRAIGHT BALL,Outside Leg stump,Short of Good Length,298.2306,0.98,9.185,9.697,-0.209,0.121,0.598,-8.841,0.137,1.054,-0.243,-14.426,-8.901,0.139,1.059,-10.354,87.577,0.525,8.34,-0.584,1.938,81.851,-10.06,0.188,1.138,0.085,-0.012,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Hardik Pandya,Right Arm Fast Medium,1,27.6,28,6,0,0,153,22.0,0,0,0,1,1,0,0,168,0,132,5.46,0,0,4,50,42,,,0,FORWARD PUSH,ANGLED IN,Outside Off stump,Good Length,,,7.584,8.568,-0.521,0.113,0.562,-8.841,-0.298,0.751,-0.365,-12.818,-8.181,-0.319,0.71,-9.236,83.012,0.497,8.341,-0.879,1.946,81.612,-10.06,-0.26,0.815,-0.057,-0.005,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jacob Bethell,Left Hand Batsman,Jos Buttler,Axar Patel,Left Arm Orthodox,1,28.1,29,1,1,0,154,21.5,0,0,0,1,1,0,0,169,0,131,5.46,1,1,0,30,16,,,0,REVERSE SWEEP,ORTHODOX,Leg stump,Full Length,352.3189,0.94,10.88,5.334,-0.37,0.276,0.615,-8.841,-0.245,0.612,-2.607,-15.37,-6.77,-0.308,0.373,-3.966,74.695,0.637,8.341,-1.154,2.216,57.358,-10.06,-0.207,0.701,1.704,0.19,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Axar Patel,Left Arm Orthodox,1,28.2,29,2,2,0,156,21.4,0,0,0,1,1,0,0,170,0,130,5.5,0,2,4,51,44,,,0,FRONTFOOT OFF DRIVE,ORTHODOX,Outside Off stump,Full Length,129.5099,0.88,12.905,4.389,-0.302,0.288,0.67,-8.841,-0.156,0.614,-2.369,-16.417,-7.64,-0.212,0.426,-2.334,81.709,0.705,8.341,-1.18,2.289,54.953,-10.06,-0.099,0.761,2.629,0.306,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Jos Buttler,Right Hand Batsman,Jacob Bethell,Axar Patel,Left Arm Orthodox,1,28.3,29,3,1,0,157,21.3,0,0,0,1,1,0,0,171,0,129,5.5,0,1,4,52,45,,,0,BACKFOOT COVERDRIVE,ORTHODOX,Outside Off stump,Good Length,155.3628,0.88,10.997,6.153,-0.371,0.355,0.58,-8.841,-0.21,0.67,-2.7,-15.781,-8.36,-0.226,0.637,-4.502,61.59,0.726,8.341,-1.155,2.189,57.745,-10.06,-0.169,0.723,1.665,0.171,-1.0
