Series,Venue,Date,Batting Team,Bowling Team,Striker,Batting Type,Non-Striker,Bowler,Bowling Proficiency,Innings,Unique,Over Number,Over Ball,Runs,Wides,Team Runs,Remaining Overs,Lead By,Trail By,Fall Of Wickets,Day,Session,Leg Byes,No Balls,Balls,Byes,Remaining Balls,Run Rate,Batter Sixes,Batter Runs,Batter Fours,Batter Balls,Batter Total Runs,Dismissal Type,Dismissal Fielder,On Field Minutes,Shot Type,Delivery Type,Pitching Line,Pitching Length,Fielder Angle,Fielder Length Ratio,Bounce Angle,Pitch_x,Pitch_y,Friction,Restitution,Crease Position,Crease Position_x,Crease Position_y,Deviation Degree,Drop Angle,Impact Position_x,Impact Position_y,Impact Position_z,Initial Angle,PBR,Reaction Time,Release Position,Release Position_x,Release Position_y,Release Speed,Stump Position,Stump Position_x,Stump Position_y,Swing Degree,Swing Distance,Six Distance
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,1.5,2,5,0,0,7,48.1,0,0,0,1,1,0,0,11,0,289,3.81,0,0,1,8,4,,,0,BACKFOOT PUSH,ANGLED IN,Outside Off stump,Short of Good Length,,,8.757,8.193,-0.499,0.148,0.639,-8.841,-0.17,0.89,0.015,-12.834,-8.253,-0.199,0.834,-9.833,91.009,0.472,8.341,-0.774,2.066,86.851,-10.06,-0.111,0.994,2.054,0.176,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,1.6,2,6,4,0,11,48.0,0,0,0,1,1,0,0,12,0,288,5.5,0,4,2,9,8,,,0,STEP DOWN LOFTED ON DRIVE,STRAIGHT BALL,Outside Off stump,Good Length,14.43996,1.16,10.071,7.355,-0.54,0.124,0.797,-8.841,-0.389,0.97,0.833,-11.984,-7.175,-0.431,0.746,-9.155,117.158,0.427,8.341,-0.69,2.084,88.518,-10.06,-0.358,1.117,-0.451,0.011,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,2.1,3,1,0,0,11,47.5,0,0,0,1,1,0,0,13,0,287,5.07,0,0,0,4,3,,,0,FORWARD DEFENCE,ANGLED IN,Outside Off stump,Good Length,,,8.365,6.715,0.429,0.2,0.648,-8.841,0.2,0.7,-0.12,-11.913,-8.389,0.219,0.656,-6.951,87.241,0.479,8.341,0.885,1.957,84.408,-10.06,0.148,0.808,0.051,0.007,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,2.2,3,2,4,0,15,47.4,0,0,0,1,1,0,0,14,0,286,6.42,0,4,1,5,7,,,0,FRONTFOOT OFF DRIVE,ANGLED IN,Outside Off stump,Full Length,70.2799,1.15,7.525,6.091,0.473,0.161,0.613,-8.841,0.35,0.561,0.174,-11.543,-8.354,0.362,0.518,-6.53,85.793,0.473,8.34,0.913,1.964,82.0,-10.06,0.318,0.66,0.865,-0.015,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,2.3,3,3,2,0,17,47.3,0,0,0,1,1,0,0,15,0,285,6.8,0,2,1,6,9,,,0,LEG GLANCE,ANGLED IN,Outside Off stump,Short of Good Length,205.4714,0.98,8.622,7.892,0.424,0.218,0.639,-8.841,-0.084,0.83,-0.576,-12.337,-8.485,-0.056,0.798,-8.31,83.968,0.487,8.341,0.941,1.931,84.013,-10.06,-0.179,0.928,-1.642,-0.148,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,2.4,3,4,0,0,17,47.2,0,0,0,1,1,0,0,16,0,284,6.37,0,0,1,7,9,,,0,BACKFOOT DEFENCE,ANGLED IN,Outside Off stump,Short of Good Length,,,6.734,7.514,0.478,0.159,0.529,-8.841,0.293,0.594,0.893,-11.955,-999.9,-999.9,-999.9,-8.07,73.533,0.526,8.341,1.004,1.939,86.618,-10.06,0.262,0.66,-0.01,-0.004,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,2.5,3,5,0,0,17,47.1,0,0,0,1,1,0,0,17,0,283,6.0,0,0,1,8,9,,,0,FORWARD DEFENCE,OUTSWINGER,Outside Off stump,Short of Good Length,,,8.75,7.894,0.523,0.173,0.628,-8.841,0.421,0.828,-1.279,-12.908,-999.9,-999.9,-999.9,-7.795,86.925,0.539,8.34,0.953,1.912,85.521,-10.06,0.402,0.931,5.332,0.47,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Ben Duckett,Left Hand Batsman,Phil Salt,Mohammed Shami,Right Arm Fast Medium,1,2.6,3,6,0,0,17,47.0,0,0,0,1,1,0,0,18,0,282,5.66,0,0,1,9,9,,,0,FRONTFOOT FLICK,ANGLED IN,Outside Off stump,Good Length,,,7.727,6.365,0.187,0.168,0.639,-8.841,-0.272,0.613,-0.72,-11.338,-8.67,-0.256,0.597,-6.813,89.071,0.482,8.341,0.883,1.939,85.44,-10.06,-0.383,0.713,-1.858,-0.19,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,3.1,4,1,0,0,17,46.5,0,0,0,1,1,0,0,19,0,281,5.36,0,0,2,10,8,,,0,FRONTFOOT COVERDRIVE,STRAIGHT BALL,Outside Off stump,Good Length,,,7.622,7.382,-0.701,0.022,0.495,-8.841,-0.597,0.637,1.112,-14.994,-8.44,-0.604,0.604,-7.198,82.031,0.478,8.34,-0.7,2.114,84.454,-10.06,-0.576,0.728,-0.302,-0.028,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,3.2,4,2,0,0,17,46.4,0,0,0,1,1,0,0,20,0,280,5.1,0,0,2,11,8,,,0,CUT SHOT,OUTSWINGER,Outside Off stump,Short of Good Length,,,9.547,7.456,-0.681,0.209,0.72,-8.841,-0.805,0.915,-1.053,-12.161,-999.9,-999.9,-999.9,-9.13,97.088,0.526,8.341,-0.68,2.087,87.855,-10.06,-0.83,1.044,-0.087,-0.008,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,3.3,4,3,0,0,17,46.3,0,0,0,1,1,0,0,21,0,279,4.85,0,0,2,12,8,,,0,FRONTFOOT OFF DRIVE,ANGLED IN,Off stump,Full Length,,,6.654,4.709,-0.187,0.176,0.553,-8.841,-0.051,0.392,0.16,-11.272,-8.22,-0.076,0.336,-5.686,75.371,0.446,8.341,-0.645,2.05,89.574,-10.06,-0.003,0.491,0.225,0.026,-1.0
England tour of India ODI series 2025,"Vidarbha Cricket Association Stadium, Nagpur",07-02-2025 13:30,England,India,Phil Salt,Right Hand Batsman,Ben Duckett,Harshit Rana,Right Arm Fast Medium,1,3.4,4,4,0,0,17,46.2,0,0,0,1,1,0,0,22,0,278,4.63,0,0,2,13,8,,,0,BACKFOOT PULL SHOT,ANGLED IN,Outside Off stump,Short Length,,,8.934,10.183,-0.262,0.115,0.575,-8.84,0.141,1.127,-0.265,-14.597,-8.065,0.105,1.059,-12.512,84.818,0.454,8.34,-0.604,2.011,90.405,-10.06,0.198,1.223,0.709,0.049,-1.0
